file_name,ligand_name,pdb_name,file_type,file_path
3qxp_ligand.mol2,3qxp_ligand,3qxp,mol2,../data/v2020-other-PL/3qxp/3qxp_ligand.mol2
3qxp_ligand.sdf,3qxp_ligand,3qxp,sdf,../data/v2020-other-PL/3qxp/3qxp_ligand.sdf
6nyw_ligand.mol2,6nyw_ligand,6nyw,mol2,../data/v2020-other-PL/6nyw/6nyw_ligand.mol2
6nyw_ligand.sdf,6nyw_ligand,6nyw,sdf,../data/v2020-other-PL/6nyw/6nyw_ligand.sdf
2mpa_ligand.mol2,2mpa_ligand,2mpa,mol2,../data/v2020-other-PL/2mpa/2mpa_ligand.mol2
2mpa_ligand.sdf,2mpa_ligand,2mpa,sdf,../data/v2020-other-PL/2mpa/2mpa_ligand.sdf
4hbp_ligand.sdf,4hbp_ligand,4hbp,sdf,../data/v2020-other-PL/4hbp/4hbp_ligand.sdf
4hbp_ligand.mol2,4hbp_ligand,4hbp,mol2,../data/v2020-other-PL/4hbp/4hbp_ligand.mol2
4bcj_ligand.sdf,4bcj_ligand,4bcj,sdf,../data/v2020-other-PL/4bcj/4bcj_ligand.sdf
4bcj_ligand.mol2,4bcj_ligand,4bcj,mol2,../data/v2020-other-PL/4bcj/4bcj_ligand.mol2
2auz_ligand.sdf,2auz_ligand,2auz,sdf,../data/v2020-other-PL/2auz/2auz_ligand.sdf
2auz_ligand.mol2,2auz_ligand,2auz,mol2,../data/v2020-other-PL/2auz/2auz_ligand.mol2
1p7m_ligand.mol2,1p7m_ligand,1p7m,mol2,../data/v2020-other-PL/1p7m/1p7m_ligand.mol2
1p7m_ligand.sdf,1p7m_ligand,1p7m,sdf,../data/v2020-other-PL/1p7m/1p7m_ligand.sdf
2pqj_ligand.sdf,2pqj_ligand,2pqj,sdf,../data/v2020-other-PL/2pqj/2pqj_ligand.sdf
2pqj_ligand.mol2,2pqj_ligand,2pqj,mol2,../data/v2020-other-PL/2pqj/2pqj_ligand.mol2
6b3e_ligand.sdf,6b3e_ligand,6b3e,sdf,../data/v2020-other-PL/6b3e/6b3e_ligand.sdf
6b3e_ligand.mol2,6b3e_ligand,6b3e,mol2,../data/v2020-other-PL/6b3e/6b3e_ligand.mol2
2y1g_ligand.mol2,2y1g_ligand,2y1g,mol2,../data/v2020-other-PL/2y1g/2y1g_ligand.mol2
2y1g_ligand.sdf,2y1g_ligand,2y1g,sdf,../data/v2020-other-PL/2y1g/2y1g_ligand.sdf
2g79_ligand.sdf,2g79_ligand,2g79,sdf,../data/v2020-other-PL/2g79/2g79_ligand.sdf
2g79_ligand.mol2,2g79_ligand,2g79,mol2,../data/v2020-other-PL/2g79/2g79_ligand.mol2
4mwc_ligand.sdf,4mwc_ligand,4mwc,sdf,../data/v2020-other-PL/4mwc/4mwc_ligand.sdf
4mwc_ligand.mol2,4mwc_ligand,4mwc,mol2,../data/v2020-other-PL/4mwc/4mwc_ligand.mol2
