,file_name,pdb_name,file_type,file_path,ROMol,rdkit_log
0,5ohj_ligand.mol2,5ohj,mol2,../data/v2020-other-PL/5ohj/5ohj_ligand.mol2,,"[RDKit] ERROR:[13:58:41] Can't kekulize mol.  Unkekulized atoms: 38 39 40 41 42
"
1,3whw_ligand.mol2,3whw,mol2,../data/v2020-other-PL/3whw/3whw_ligand.mol2,,"[RDKit] ERROR:[13:58:41] sanitize [13:58:41] 5ohj_ligand: [13:58:41] Explicit valence for atom # 18 C, 5, is greater than permitted
"
2,5wjj_ligand.mol2,5wjj,mol2,../data/v2020-other-PL/5wjj/5wjj_ligand.mol2,,"[RDKit] ERROR:[13:58:41] Can't kekulize mol.  Unkekulized atoms: 9 10 27 30 32
"
3,2fou_ligand.mol2,2fou,mol2,../data/v2020-other-PL/2fou/2fou_ligand.mol2,,
4,5yjy_ligand.mol2,5yjy,mol2,../data/v2020-other-PL/5yjy/5yjy_ligand.mol2,,"[RDKit] ERROR:[13:58:43] Can't kekulize mol.  Unkekulized atoms: 0 2 3 6 7 8 9 10 11
"
5,2aoh_ligand.mol2,2aoh,mol2,../data/v2020-other-PL/2aoh/2aoh_ligand.mol2,,"[RDKit] ERROR:[13:58:43] sanitize [13:58:43] 5yjy_ligand: [13:58:43] Explicit valence for atom # 26 C, 5, is greater than permitted
"
6,3lp1_ligand.mol2,3lp1,mol2,../data/v2020-other-PL/3lp1/3lp1_ligand.mol2,,"[RDKit] ERROR:[13:58:43] sanitize [13:58:43] 2aoh_ligand: [13:58:43] Can't kekulize mol.  Unkekulized atoms: 0 3 4 6 7 8 9 10 11
"
7,3qlb_ligand.mol2,3qlb,mol2,../data/v2020-other-PL/3qlb/3qlb_ligand.mol2,,
8,3fxz_ligand.mol2,3fxz,mol2,../data/v2020-other-PL/3fxz/3fxz_ligand.mol2,,"[RDKit] ERROR:[13:58:46] Explicit valence for atom # 12 C, 5, is greater than permitted
"
9,2fov_ligand.mol2,2fov,mol2,../data/v2020-other-PL/2fov/2fov_ligand.mol2,,
10,3bwf_ligand.mol2,3bwf,mol2,../data/v2020-other-PL/3bwf/3bwf_ligand.mol2,,"[RDKit] ERROR:[13:58:46] Explicit valence for atom # 11 C, 5, is greater than permitted
"
11,5lwe_ligand.mol2,5lwe,mol2,../data/v2020-other-PL/5lwe/5lwe_ligand.mol2,,"[RDKit] ERROR:[13:58:46] sanitize [13:58:46] 3bwf_ligand: [13:58:47] Can't kekulize mol.  Unkekulized atoms: 20 21 22 23 24
"
12,6pgx_ligand.mol2,6pgx,mol2,../data/v2020-other-PL/6pgx/6pgx_ligand.mol2,,"[RDKit] ERROR:[13:58:47] sanitize [13:58:47] 5lwe_ligand: [13:58:47] Explicit valence for atom # 7 C, 5, is greater than permitted
"
13,4i60_ligand.mol2,4i60,mol2,../data/v2020-other-PL/4i60/4i60_ligand.mol2,,"[RDKit] ERROR:[13:58:48] Explicit valence for atom # 15 C, 5, is greater than permitted
"
14,2fm5_ligand.mol2,2fm5,mol2,../data/v2020-other-PL/2fm5/2fm5_ligand.mol2,,"[RDKit] ERROR:[13:58:48] sanitize [13:58:48] 4i60_ligand: [13:58:49] Can't kekulize mol.  Unkekulized atoms: 31 32 33 34 35
"
