,ligand_name,pdb_name,smiles,rot_bonds,n_atoms,arom_rings,amide_bonds
1916,2rk7_ligand,2rk7,O=C([O-])C(=O)[O-],0,6,0,0
5888,2hwg_ligand,2hwg,O=C([O-])C(=O)[O-],0,6,0,0
9908,2dua_ligand,2dua,O=C([O-])C(=O)[O-],0,6,0,0
10368,1o4n_ligand,1o4n,O=C([O-])C(=O)[O-],0,6,0,0
11406,1t5a_ligand,1t5a,O=C([O-])C(=O)[O-],0,6,0,0
11067,1w70_ligand,1w70,O=C([O-])C(F)(F)F,0,7,0,0
1144,2jst_ligand,2jst,FC(F)(F)[C@H](Cl)Br,0,8,0,0
4208,3kqm_ligand,3kqm,Brc1cnc[nH]1,0,9,1,0
11490,4yas_ligand,4yas,OCC(Cl)(Cl)Cl,0,9,0,0
2432,4lpf_ligand,4lpf,Nc1ncn[nH]1,0,10,1,0
7341,1fwe_ligand,1fwe,CC(=O)NO,0,10,0,1
1794,6klk_ligand,6klk,O=c1[nH]cc(F)c(=O)[nH]1,0,12,1,0
4152,1swi_ligand,1swi,c1ccccc1,0,12,1,0
4171,6grp_ligand,6grp,O=C1N=C(Cl)C(Cl)C=C1Cl,0,12,0,1
4465,2z9g_ligand,2z9g,c1ccccc1,0,12,1,0
4610,223l_ligand,223l,c1ccccc1,0,12,1,0
5146,5y48_ligand,5y48,O=C1CC=NC(=O)N1,0,12,0,3
5513,2xix_ligand,2xix,Nc1nnc(N)[nH]1,0,12,1,0
5736,220l_ligand,220l,c1ccccc1,0,12,1,0
9929,1g42_ligand,1g42,[Cl+]1C2C13[Cl+]C3C21C23[Cl+2]4[Cl+2]2C413,0,12,0,0
11908,2xgm_ligand,2xgm,O=C1NC(=O)C(=O)C(=O)N1,0,12,0,4
13281,1wcc_ligand,1wcc,Nc1cncc(Cl)n1,0,12,1,0
465,1e5a_ligand,1e5a,Oc1c(Br)cc(Br)cc1Br,0,13,1,0
1180,6hx5_ligand,6hx5,[SeH]c1ccccc1,0,13,1,0
1276,1n1g_ligand,1n1g,Clc1nc(Br)nc2[nH]cnc12,0,13,2,0
2029,1y4z_ligand,1y4z,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0,13,1,0
2935,5mnx_ligand,5mnx,Nc1ccccn1,0,13,1,0
2993,5mon_ligand,5mon,Nc1ccccn1,0,13,1,0
3583,5mnb_ligand,5mnb,Nc1ccccn1,0,13,1,0
4917,1wbo_ligand,1wbo,Oc1ccccc1Cl,0,13,1,0
5548,3f39_ligand,3f39,Oc1ccccc1,0,13,1,0
6281,6hwz_ligand,6hwz,[SeH]c1ccccc1,0,13,1,0
8630,4mk1_ligand,4mk1,Oc1cc(Br)cnc1O,0,13,1,0
9695,3rxf_ligand,3rxf,Nc1ccncc1,0,13,1,0
12357,3kqo_ligand,3kqo,Clc1ncnc2[nH]cnc12,0,13,2,0
12636,5kbh_ligand,5kbh,Oc1cccc(Cl)c1,0,13,1,0
13163,1jdj_ligand,1jdj,Fc1nc(Cl)c2nc[nH]c2n1,0,13,2,0
202,3k3g_ligand,3k3g,CNC(=O)NC,0,14,0,2
1485,4ms0_ligand,4ms0,Nc1cc(Cl)nc(N)n1,0,14,1,0
2174,5mnc_ligand,5mnc,Nc1ccccc1,0,14,1,0
2348,5kbi_ligand,5kbi,Oc1ccccc1O,0,14,1,0
3951,4oow_ligand,4oow,Oc1ccccc1O,0,14,1,0
4217,4e3h_ligand,4e3h,Oc1ccc(O)cc1,0,14,1,0
4866,5mny_ligand,5mny,Nc1ccccc1,0,14,1,0
7653,5swg_ligand,5swg,Oc1ccccc1O,0,14,1,0
8384,4e49_ligand,4e49,Oc1cccc(O)c1,0,14,1,0
9227,1p5e_ligand,1p5e,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,0,14,2,0
10240,1d6n_ligand,1d6n,O=c1[nH]cnc2c1N=NC2,0,14,1,0
